matricul,natcremo,mtinicre,mtsolree,dtprescc,ddmotiet,ddetatcr,lb_motietat,lb_etatcre,lb_statucre,lb_moderec,etatsdp,idnatpie,annee_cohorte
M0387,RSA,1867.45,303.95,2025-02-17,2025-08-25,2025-05-26,Recalcul,En attente,En cours,Manuel,Validée,DOC001,2025
M0388,AAH,249.89,653.16,2025-11-22,2025-12-24,2025-08-29,Signalement usager,En attente,En cours,Automatique,Validée,DOC003,2025
M0389,RSA,1877.6,938.3,2025-08-21,2025-12-15,2025-12-10,Erreur CAF,Clôturé,En cours,Automatique,Validée,DOC003,2025
M0390,AAH,1391.38,871.2,2025-04-10,2025-07-16,2025-08-25,Recalcul,En attente,En cours,Automatique,Rejetée,DOC001,2025
M0391,ASF,182.28,766.06,2025-02-28,2025-03-14,2025-02-04,Signalement usager,Clôturé,A solder,Manuel,Rejetée,DOC002,2025
M0392,ASF,636.88,788.45,2025-09-15,2025-02-28,2025-07-09,Recalcul,En attente,A solder,Automatique,Rejetée,DOC001,2025
M0393,AAH,1430.94,664.98,2025-03-06,2025-08-28,2025-01-01,Recalcul,Clôturé,Relance,Manuel,Rejetée,DOC001,2025
M0394,ASF,181.33,260.29,2025-03-24,2025-01-02,2025-06-02,Recalcul,Clôturé,En cours,Automatique,Rejetée,DOC002,2025
M0395,ASF,1185.23,907.2,2025-06-03,2025-12-26,2025-05-06,Erreur CAF,Ouvert,En cours,Automatique,Rejetée,DOC003,2025
M0396,ASF,724.47,670.73,2025-09-23,2025-07-07,2025-12-11,Signalement usager,En attente,Relance,Automatique,Rejetée,DOC001,2025
M0397,APL,1260.79,560.44,2025-11-05,2025-11-03,2025-08-14,Signalement usager,Ouvert,En cours,Automatique,Validée,DOC003,2025
M0398,PPA,139.2,110.99,2025-03-20,2025-01-30,2025-08-09,Erreur CAF,Ouvert,Relance,Manuel,En attente,DOC003,2025
M0399,RSA,1749.5,447.06,2025-11-11,2025-09-24,2025-07-30,Signalement usager,En attente,A solder,Manuel,Rejetée,DOC002,2025
M0400,APL,1948.3,460.36,2025-05-30,2025-04-18,2025-01-25,Recalcul,Ouvert,Relance,Manuel,En attente,DOC001,2025
M0401,ASF,1939.31,864.56,2025-02-17,2025-11-28,2025-01-16,Signalement usager,En attente,En cours,Manuel,Rejetée,DOC001,2025
M0402,AAH,1511.82,546.65,2025-09-05,2025-03-31,2025-07-01,Erreur CAF,Ouvert,Relance,Automatique,Rejetée,DOC003,2025
M0403,ASF,303.67,380.4,2025-10-05,2025-07-24,2025-11-25,Recalcul,En attente,A solder,Manuel,Validée,DOC003,2025
M0404,PPA,1528.61,976.8,2025-12-22,2025-08-08,2025-05-09,Erreur CAF,En attente,En cours,Manuel,En attente,DOC002,2025
M0405,ASF,97.94,110.72,2025-04-08,2025-04-04,2025-02-11,Recalcul,En attente,A solder,Manuel,Validée,DOC003,2025
M0406,AAH,93.14,422.55,2025-01-25,2025-04-13,2025-12-02,Recalcul,Clôturé,A solder,Automatique,Validée,DOC002,2025
M0407,PPA,681.04,42.02,2025-10-11,2025-08-11,2025-08-24,Signalement usager,Ouvert,Relance,Manuel,En attente,DOC001,2025
M0408,ASF,1002.85,739.9,2025-10-28,2025-07-05,2025-12-26,Recalcul,Clôturé,A solder,Manuel,Validée,DOC002,2025
M0409,PPA,1552.29,918.08,2025-03-09,2025-07-03,2025-02-03,Erreur CAF,Ouvert,En cours,Automatique,Rejetée,DOC003,2025
M0410,RSA,1382.43,280.04,2025-01-07,2025-06-11,2025-12-11,Signalement usager,Ouvert,A solder,Automatique,Rejetée,DOC001,2025
M0411,RSA,919.51,858.34,2025-11-01,2025-09-04,2025-02-14,Erreur CAF,Ouvert,A solder,Manuel,Rejetée,DOC002,2025
M0412,ASF,583.57,292.22,2025-05-17,2025-01-31,2025-05-14,Recalcul,Clôturé,Relance,Manuel,Rejetée,DOC001,2025
M0413,PPA,1994.39,910.77,2025-06-13,2025-02-21,2025-01-21,Erreur CAF,Ouvert,A solder,Automatique,Rejetée,DOC002,2025
M0414,AAH,881.05,753.96,2025-03-24,2025-12-11,2025-05-02,Erreur CAF,Clôturé,Relance,Manuel,Validée,DOC003,2025
M0415,ASF,930.2,804.91,2025-05-18,2025-03-17,2025-03-11,Recalcul,En attente,Relance,Automatique,Validée,DOC003,2025
M0416,RSA,369.07,18.01,2025-03-14,2025-10-05,2025-12-18,Signalement usager,Ouvert,En cours,Manuel,Rejetée,DOC001,2025
M0417,RSA,1599.88,962.81,2025-08-25,2025-02-09,2025-12-27,Erreur CAF,Ouvert,En cours,Manuel,Rejetée,DOC001,2025
M0418,ASF,1402.68,726.67,2025-02-15,2025-04-11,2025-02-17,Recalcul,En attente,En cours,Manuel,Validée,DOC001,2025
M0419,PPA,480.5,304.75,2025-04-16,2025-04-21,2025-02-08,Signalement usager,En attente,En cours,Manuel,En attente,DOC002,2025
M0420,RSA,210.64,829.39,2025-10-15,2025-11-17,2025-10-14,Signalement usager,Ouvert,Relance,Manuel,Validée,DOC003,2025
M0421,PPA,1376.97,281.52,2025-09-19,2025-09-06,2025-01-10,Signalement usager,En attente,A solder,Automatique,Validée,DOC001,2025
M0422,RSA,1326.3,872.75,2025-06-25,2025-07-10,2025-01-30,Erreur CAF,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0423,RSA,582.86,112.58,2025-06-15,2025-07-01,2025-09-01,Erreur CAF,Clôturé,En cours,Manuel,Validée,DOC001,2025
M0424,APL,1904.18,703.69,2025-05-25,2025-12-01,2025-10-01,Erreur CAF,Ouvert,En cours,Manuel,Validée,DOC002,2025
M0425,RSA,344.56,540.7,2025-11-26,2025-07-28,2025-03-29,Signalement usager,Clôturé,A solder,Manuel,En attente,DOC001,2025
M0426,AAH,893.05,96.53,2025-10-10,2025-01-22,2025-09-01,Erreur CAF,Clôturé,En cours,Automatique,Rejetée,DOC001,2025
M0427,ASF,1890.05,241.89,2025-02-23,2025-06-15,2025-11-25,Recalcul,Ouvert,A solder,Automatique,Rejetée,DOC002,2025
M0428,ASF,868.47,12.4,2025-06-27,2025-04-09,2025-01-15,Erreur CAF,En attente,Relance,Automatique,En attente,DOC002,2025
M0429,PPA,1295.13,468.77,2025-09-01,2025-07-27,2025-01-04,Erreur CAF,Ouvert,Relance,Automatique,Rejetée,DOC001,2025
M0430,RSA,825.31,301.27,2025-12-07,2025-01-08,2025-07-10,Signalement usager,Clôturé,Relance,Automatique,Rejetée,DOC001,2025
M0431,AAH,584.72,598.36,2025-05-07,2025-07-09,2025-06-17,Erreur CAF,Ouvert,A solder,Automatique,Rejetée,DOC002,2025
M0432,PPA,1968.76,297.24,2025-09-28,2025-06-24,2025-01-09,Recalcul,Ouvert,En cours,Automatique,En attente,DOC003,2025
M0433,APL,848.2,299.92,2025-05-12,2025-09-30,2025-04-19,Signalement usager,Clôturé,En cours,Automatique,En attente,DOC002,2025
M0434,PPA,1793.49,743.19,2025-04-03,2025-01-17,2025-05-17,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0435,PPA,498.41,48.14,2025-03-14,2025-03-31,2025-06-03,Signalement usager,Ouvert,En cours,Automatique,Rejetée,DOC001,2025
M0436,RSA,465.55,902.89,2025-09-05,2025-05-21,2025-07-28,Signalement usager,Clôturé,En cours,Automatique,Rejetée,DOC001,2025
M0437,APL,110.71,852.26,2025-12-14,2025-05-25,2025-09-29,Erreur CAF,Clôturé,A solder,Automatique,Validée,DOC003,2025
M0438,PPA,1320.75,667.8,2025-09-30,2025-06-15,2025-05-23,Recalcul,Clôturé,Relance,Automatique,Validée,DOC002,2025
M0439,AAH,768.63,593.22,2025-02-12,2025-12-03,2025-04-09,Signalement usager,Clôturé,En cours,Manuel,Validée,DOC001,2025
M0440,AAH,1735.5,892.3,2025-02-10,2025-03-19,2025-11-04,Erreur CAF,Clôturé,Relance,Automatique,En attente,DOC003,2025
M0441,ASF,972.76,185.33,2025-06-19,2025-09-19,2025-03-10,Signalement usager,Clôturé,A solder,Manuel,Rejetée,DOC002,2025
M0442,APL,1937.98,78.97,2025-07-31,2025-06-12,2025-09-04,Signalement usager,En attente,A solder,Manuel,En attente,DOC003,2025
M0443,APL,411.77,239.51,2025-06-17,2025-01-14,2025-09-18,Signalement usager,Ouvert,En cours,Manuel,En attente,DOC002,2025
M0444,ASF,1743.82,794.58,2025-02-08,2025-08-27,2025-10-03,Signalement usager,Clôturé,A solder,Automatique,En attente,DOC002,2025
M0445,PPA,1564.36,34.67,2025-09-02,2025-03-13,2025-03-20,Signalement usager,Ouvert,Relance,Automatique,Rejetée,DOC002,2025
M0446,APL,1553.3,582.81,2025-05-31,2025-05-23,2025-05-26,Signalement usager,En attente,En cours,Automatique,Validée,DOC002,2025
M0447,AAH,1697.33,995.44,2025-04-21,2025-11-06,2025-04-21,Erreur CAF,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0448,AAH,1534.0,855.7,2025-02-16,2025-10-10,2025-09-15,Signalement usager,Ouvert,Relance,Manuel,Rejetée,DOC003,2025
M0449,RSA,1271.13,521.45,2025-03-04,2025-09-26,2025-04-03,Recalcul,Clôturé,En cours,Manuel,En attente,DOC003,2025
M0450,APL,305.93,63.64,2025-08-13,2025-08-29,2025-01-13,Erreur CAF,Clôturé,En cours,Manuel,En attente,DOC003,2025
M0451,PPA,113.43,831.37,2025-03-10,2025-09-02,2025-09-17,Recalcul,Clôturé,Relance,Automatique,En attente,DOC003,2025
M0452,ASF,1845.65,598.98,2025-10-26,2025-06-12,2025-04-19,Signalement usager,Clôturé,En cours,Automatique,Validée,DOC002,2025
M0453,ASF,1252.47,114.93,2025-10-17,2025-03-01,2025-11-26,Recalcul,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0454,PPA,1603.25,93.86,2025-10-23,2025-01-06,2025-07-08,Signalement usager,Clôturé,Relance,Manuel,Validée,DOC001,2025
M0455,RSA,988.97,909.63,2025-07-22,2025-07-16,2025-04-05,Signalement usager,Clôturé,A solder,Manuel,Rejetée,DOC003,2025
M0456,ASF,278.75,669.2,2025-03-02,2025-02-27,2025-04-15,Erreur CAF,En attente,Relance,Automatique,En attente,DOC003,2025
M0457,APL,294.11,829.29,2025-11-14,2025-11-01,2025-01-08,Erreur CAF,En attente,En cours,Automatique,Rejetée,DOC001,2025
M0458,RSA,1386.85,878.98,2025-11-10,2025-08-05,2025-03-08,Signalement usager,Clôturé,Relance,Manuel,Validée,DOC002,2025
M0459,APL,889.1,571.77,2025-06-10,2025-01-26,2025-07-10,Erreur CAF,Clôturé,En cours,Automatique,En attente,DOC003,2025
M0460,AAH,441.02,517.45,2025-11-27,2025-10-30,2025-09-13,Recalcul,En attente,En cours,Automatique,Validée,DOC002,2025
M0461,RSA,1008.61,430.43,2025-01-16,2025-01-05,2025-01-09,Erreur CAF,En attente,Relance,Manuel,En attente,DOC001,2025
M0462,ASF,175.21,316.95,2025-12-04,2025-01-20,2025-04-27,Erreur CAF,En attente,En cours,Manuel,En attente,DOC001,2025
M0463,RSA,1184.84,434.6,2025-04-04,2025-07-17,2025-09-24,Recalcul,Clôturé,A solder,Manuel,Rejetée,DOC003,2025
M0464,RSA,574.54,773.88,2025-10-31,2025-02-28,2025-04-09,Erreur CAF,Ouvert,En cours,Automatique,Rejetée,DOC002,2025
M0465,RSA,1605.24,601.92,2025-05-18,2025-08-30,2025-10-25,Signalement usager,Ouvert,Relance,Manuel,Validée,DOC003,2025
M0466,RSA,655.21,892.52,2025-12-04,2025-05-26,2025-06-13,Recalcul,Ouvert,A solder,Automatique,Rejetée,DOC001,2025
M0467,APL,937.68,443.38,2025-02-07,2025-09-30,2025-05-21,Signalement usager,Ouvert,A solder,Automatique,Rejetée,DOC002,2025
M0468,AAH,72.66,607.09,2025-05-07,2025-09-06,2025-09-25,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0469,PPA,191.27,631.31,2025-10-02,2025-01-14,2025-02-06,Signalement usager,Ouvert,Relance,Automatique,En attente,DOC003,2025
M0470,RSA,815.36,591.7,2025-06-13,2025-01-13,2025-03-15,Signalement usager,En attente,En cours,Manuel,Rejetée,DOC003,2025
M0471,ASF,985.88,702.63,2025-11-15,2025-02-13,2025-03-14,Erreur CAF,En attente,En cours,Manuel,Validée,DOC001,2025
M0472,RSA,1220.04,237.43,2025-03-18,2025-01-19,2025-11-04,Signalement usager,Ouvert,Relance,Automatique,En attente,DOC003,2025
M0473,ASF,618.74,512.36,2025-06-23,2025-03-04,2025-07-18,Erreur CAF,En attente,Relance,Automatique,En attente,DOC002,2025
M0474,APL,1405.21,104.22,2025-12-24,2025-08-27,2025-05-10,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0475,ASF,1727.24,384.51,2025-11-17,2025-12-03,2025-09-03,Signalement usager,Ouvert,A solder,Manuel,En attente,DOC001,2025
M0476,PPA,1570.71,487.67,2025-04-01,2025-04-10,2025-11-08,Signalement usager,Ouvert,En cours,Manuel,Validée,DOC003,2025
M0477,AAH,127.26,652.22,2025-08-26,2025-06-12,2025-03-01,Recalcul,Clôturé,A solder,Manuel,Validée,DOC001,2025
M0478,ASF,986.99,950.53,2025-09-21,2025-05-02,2025-10-06,Recalcul,En attente,En cours,Manuel,En attente,DOC001,2025
M0479,ASF,254.61,600.65,2025-06-28,2025-02-13,2025-04-13,Signalement usager,Clôturé,Relance,Manuel,Rejetée,DOC002,2025
M0480,AAH,521.99,743.59,2025-07-28,2025-12-26,2025-10-23,Recalcul,Clôturé,A solder,Automatique,Rejetée,DOC002,2025
M0481,PPA,1973.99,506.27,2025-03-14,2025-11-13,2025-11-16,Erreur CAF,En attente,Relance,Automatique,En attente,DOC003,2025
M0482,RSA,327.87,634.1,2025-04-17,2025-05-25,2025-12-07,Recalcul,Clôturé,Relance,Automatique,Validée,DOC001,2025
M0483,ASF,1022.83,70.93,2025-12-11,2025-11-23,2025-05-31,Recalcul,En attente,Relance,Automatique,En attente,DOC001,2025
M0484,AAH,1255.4,254.39,2025-10-22,2025-12-29,2025-06-06,Signalement usager,En attente,Relance,Manuel,Rejetée,DOC002,2025
M0485,APL,1419.81,361.85,2025-10-11,2025-02-19,2025-07-25,Erreur CAF,Clôturé,Relance,Automatique,Rejetée,DOC002,2025
M0486,AAH,1141.31,472.49,2025-12-19,2025-03-06,2025-06-28,Recalcul,En attente,En cours,Automatique,En attente,DOC003,2025
M0487,APL,69.05,45.65,2025-07-01,2025-12-21,2025-07-16,Erreur CAF,Clôturé,A solder,Manuel,Validée,DOC001,2025
M0488,PPA,686.6,140.02,2025-02-06,2025-10-15,2025-08-11,Erreur CAF,En attente,En cours,Automatique,En attente,DOC002,2025
M0489,RSA,1059.54,276.81,2025-05-17,2025-06-13,2025-03-30,Erreur CAF,Ouvert,En cours,Manuel,Validée,DOC003,2025
M0490,AAH,221.34,971.53,2025-12-04,2025-05-21,2025-10-14,Signalement usager,En attente,En cours,Manuel,Validée,DOC001,2025
M0491,ASF,733.72,331.35,2025-02-25,2025-11-10,2025-10-03,Recalcul,En attente,Relance,Manuel,En attente,DOC001,2025
M0492,PPA,114.75,482.04,2025-07-06,2025-05-08,2025-08-24,Signalement usager,Clôturé,En cours,Manuel,En attente,DOC002,2025
M0493,AAH,203.23,196.1,2025-12-07,2025-08-27,2025-07-02,Recalcul,En attente,A solder,Manuel,Validée,DOC003,2025
M0494,ASF,824.0,610.78,2025-09-15,2025-11-20,2025-07-28,Recalcul,Ouvert,En cours,Automatique,Validée,DOC002,2025
M0495,AAH,308.8,280.68,2025-02-27,2025-10-23,2025-05-10,Signalement usager,Ouvert,Relance,Automatique,Validée,DOC003,2025
M0496,APL,1156.7,206.99,2025-12-29,2025-07-06,2025-06-02,Erreur CAF,En attente,A solder,Automatique,Validée,DOC001,2025
M0497,AAH,1394.46,516.57,2025-05-03,2025-07-27,2025-01-13,Erreur CAF,En attente,A solder,Manuel,Rejetée,DOC003,2025
M0498,AAH,1611.14,5.51,2025-07-07,2025-08-08,2025-05-02,Recalcul,Ouvert,A solder,Automatique,En attente,DOC003,2025
M0499,AAH,440.29,7.66,2025-08-18,2025-07-09,2025-12-25,Signalement usager,Clôturé,A solder,Automatique,Validée,DOC003,2025
M0500,PPA,376.59,219.07,2025-06-17,2025-12-12,2025-08-08,Erreur CAF,Ouvert,En cours,Automatique,En attente,DOC003,2025
M0501,AAH,253.91,36.72,2025-04-24,2025-10-11,2025-04-16,Erreur CAF,Ouvert,Relance,Automatique,Validée,DOC003,2025
M0502,ASF,1291.04,108.03,2025-09-09,2025-12-18,2025-03-11,Recalcul,En attente,A solder,Manuel,En attente,DOC002,2025
M0503,APL,1427.63,338.86,2025-04-17,2025-08-25,2025-07-14,Recalcul,En attente,A solder,Automatique,En attente,DOC003,2025
M0504,APL,111.59,802.59,2025-02-06,2025-07-13,2025-07-05,Signalement usager,Ouvert,Relance,Manuel,Validée,DOC003,2025
M0505,AAH,1875.61,572.05,2025-12-01,2025-10-14,2025-04-09,Recalcul,Clôturé,En cours,Manuel,Validée,DOC001,2025
M0506,PPA,151.34,512.67,2025-04-02,2025-09-16,2025-03-23,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC003,2025
M0507,PPA,1105.53,293.49,2025-01-18,2025-09-03,2025-03-16,Erreur CAF,Ouvert,En cours,Manuel,En attente,DOC001,2025
M0508,ASF,1432.67,931.75,2025-12-20,2025-05-16,2025-12-06,Erreur CAF,Clôturé,En cours,Manuel,En attente,DOC002,2025
M0509,AAH,1748.39,397.02,2025-03-04,2025-10-07,2025-07-11,Erreur CAF,Ouvert,En cours,Manuel,Rejetée,DOC002,2025
M0510,APL,1442.47,87.09,2025-05-30,2025-09-28,2025-11-21,Signalement usager,Ouvert,En cours,Manuel,Validée,DOC003,2025
M0511,PPA,1613.37,617.07,2025-05-19,2025-06-20,2025-08-02,Signalement usager,En attente,A solder,Manuel,Rejetée,DOC002,2025
M0512,AAH,711.93,113.84,2025-07-05,2025-06-08,2025-11-11,Recalcul,Clôturé,A solder,Manuel,Rejetée,DOC003,2025
M0513,PPA,1638.91,345.22,2025-07-04,2025-07-20,2025-11-14,Recalcul,En attente,En cours,Manuel,Validée,DOC002,2025
M0514,PPA,206.22,507.41,2025-07-24,2025-02-14,2025-05-24,Recalcul,En attente,En cours,Automatique,Validée,DOC003,2025
M0515,APL,1794.89,874.22,2025-09-17,2025-09-21,2025-08-04,Signalement usager,Clôturé,Relance,Automatique,Rejetée,DOC003,2025
M0516,RSA,1117.81,493.55,2025-08-02,2025-03-12,2025-12-27,Erreur CAF,Clôturé,Relance,Manuel,Validée,DOC001,2025
M0517,ASF,1643.73,702.26,2025-09-13,2025-12-30,2025-11-20,Recalcul,Ouvert,Relance,Manuel,En attente,DOC001,2025
M0518,ASF,932.02,992.82,2025-05-15,2025-04-13,2025-01-15,Erreur CAF,En attente,A solder,Automatique,En attente,DOC001,2025
M0519,APL,1304.98,131.49,2025-03-02,2025-05-05,2025-08-05,Recalcul,Clôturé,Relance,Automatique,Rejetée,DOC001,2025
M0520,PPA,1076.49,274.73,2025-12-29,2025-11-09,2025-02-04,Recalcul,En attente,A solder,Automatique,Rejetée,DOC003,2025
M0521,AAH,1476.6,394.58,2025-11-06,2025-10-13,2025-07-02,Recalcul,En attente,A solder,Automatique,Validée,DOC002,2025
M0522,PPA,209.18,421.83,2025-03-29,2025-08-18,2025-09-27,Recalcul,Clôturé,A solder,Manuel,Validée,DOC003,2025
M0523,APL,167.69,411.02,2025-11-20,2025-05-26,2025-12-24,Recalcul,Ouvert,A solder,Manuel,Rejetée,DOC001,2025
M0524,ASF,531.85,907.61,2025-07-26,2025-07-16,2025-04-10,Erreur CAF,En attente,Relance,Automatique,Rejetée,DOC001,2025
M0525,PPA,361.11,714.03,2025-05-09,2025-08-09,2025-01-07,Recalcul,Clôturé,En cours,Automatique,En attente,DOC002,2025
M0526,ASF,1749.98,607.91,2025-11-07,2025-03-01,2025-01-30,Erreur CAF,Ouvert,En cours,Automatique,En attente,DOC001,2025
M0527,AAH,477.47,309.37,2025-01-03,2025-04-08,2025-11-01,Signalement usager,En attente,En cours,Automatique,Validée,DOC003,2025
M0528,ASF,1952.94,823.79,2025-08-30,2025-06-20,2025-05-24,Recalcul,Clôturé,Relance,Manuel,En attente,DOC003,2025
M0529,ASF,706.95,955.06,2025-05-01,2025-06-22,2025-04-21,Erreur CAF,En attente,En cours,Automatique,Validée,DOC003,2025
M0530,RSA,405.13,821.2,2025-04-12,2025-05-31,2025-08-20,Signalement usager,Clôturé,Relance,Automatique,Validée,DOC003,2025
M0531,RSA,1589.91,1.57,2025-02-07,2025-12-16,2025-06-28,Signalement usager,Clôturé,Relance,Automatique,Validée,DOC003,2025
M0532,RSA,1334.48,636.4,2025-12-07,2025-05-02,2025-03-13,Signalement usager,En attente,Relance,Manuel,En attente,DOC002,2025
M0533,ASF,1021.48,51.14,2025-05-13,2025-04-18,2025-07-29,Erreur CAF,En attente,En cours,Manuel,Rejetée,DOC003,2025
M0534,APL,1132.96,257.61,2025-07-21,2025-01-04,2025-08-08,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC001,2025
M0535,ASF,1452.44,59.52,2025-12-14,2025-04-03,2025-03-21,Recalcul,Ouvert,En cours,Automatique,En attente,DOC001,2025
M0536,APL,495.49,603.8,2025-01-21,2025-01-06,2025-03-24,Erreur CAF,En attente,A solder,Automatique,Rejetée,DOC001,2025
M0537,APL,1992.85,686.59,2025-08-30,2025-10-15,2025-02-11,Recalcul,Clôturé,Relance,Automatique,Validée,DOC001,2025
M0538,RSA,1950.85,114.49,2025-04-19,2025-04-16,2025-09-30,Erreur CAF,Clôturé,A solder,Manuel,Rejetée,DOC002,2025
M0539,PPA,1318.14,383.84,2025-10-30,2025-05-26,2025-07-10,Recalcul,Ouvert,Relance,Manuel,En attente,DOC001,2025
M0540,AAH,439.11,456.24,2025-03-25,2025-09-28,2025-06-22,Signalement usager,Ouvert,En cours,Automatique,Rejetée,DOC002,2025
M0541,RSA,1376.45,369.05,2025-03-24,2025-04-06,2025-01-07,Recalcul,Ouvert,Relance,Automatique,Validée,DOC001,2025
M0542,RSA,190.79,121.03,2025-10-18,2025-08-17,2025-06-04,Erreur CAF,En attente,Relance,Manuel,Validée,DOC002,2025
M0543,PPA,109.77,418.95,2025-03-10,2025-07-21,2025-01-10,Erreur CAF,Clôturé,A solder,Automatique,En attente,DOC002,2025
M0544,AAH,552.48,751.18,2025-05-09,2025-07-31,2025-02-03,Signalement usager,Clôturé,Relance,Automatique,En attente,DOC002,2025
M0545,ASF,952.11,71.01,2025-07-15,2025-01-06,2025-02-05,Erreur CAF,Clôturé,En cours,Automatique,En attente,DOC001,2025
M0546,ASF,1743.13,80.18,2025-05-20,2025-04-22,2025-01-06,Recalcul,Ouvert,Relance,Manuel,Validée,DOC002,2025
M0547,RSA,1467.98,354.77,2025-10-10,2025-11-19,2025-08-03,Recalcul,Clôturé,Relance,Automatique,Rejetée,DOC003,2025
M0548,AAH,1498.28,941.73,2025-11-08,2025-04-16,2025-05-14,Signalement usager,En attente,Relance,Automatique,Rejetée,DOC003,2025
M0549,RSA,879.71,668.57,2025-08-22,2025-05-19,2025-10-12,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC001,2025
M0550,APL,724.57,678.67,2025-01-23,2025-10-26,2025-05-06,Signalement usager,Ouvert,Relance,Automatique,Rejetée,DOC003,2025
M0551,RSA,773.53,361.92,2025-06-02,2025-04-06,2025-12-03,Recalcul,Ouvert,Relance,Manuel,Rejetée,DOC003,2025
M0552,RSA,1975.92,593.66,2025-10-04,2025-12-03,2025-06-23,Signalement usager,Ouvert,A solder,Manuel,En attente,DOC003,2025
M0553,ASF,128.21,10.13,2025-03-02,2025-10-24,2025-06-01,Erreur CAF,En attente,A solder,Manuel,En attente,DOC001,2025
M0554,ASF,1740.71,636.1,2025-11-15,2025-08-02,2025-11-27,Signalement usager,Clôturé,A solder,Automatique,Validée,DOC001,2025
M0555,ASF,1178.42,913.29,2025-02-21,2025-10-18,2025-01-26,Erreur CAF,En attente,A solder,Manuel,Validée,DOC003,2025
M0556,APL,905.3,612.57,2025-12-10,2025-01-22,2025-04-25,Erreur CAF,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0557,ASF,1464.25,873.7,2025-06-02,2025-07-12,2025-10-11,Recalcul,En attente,En cours,Manuel,Validée,DOC002,2025
M0558,AAH,999.0,723.97,2025-08-25,2025-05-30,2025-03-16,Recalcul,Ouvert,Relance,Automatique,Rejetée,DOC003,2025
M0559,PPA,1753.18,120.56,2025-11-07,2025-09-04,2025-06-15,Recalcul,Ouvert,En cours,Manuel,Rejetée,DOC001,2025
M0560,AAH,1806.37,902.45,2025-10-29,2025-09-24,2025-07-08,Erreur CAF,En attente,Relance,Manuel,Validée,DOC001,2025
M0561,AAH,872.36,66.44,2025-02-01,2025-09-08,2025-03-19,Signalement usager,En attente,En cours,Manuel,Validée,DOC003,2025
M0562,ASF,589.81,533.97,2025-02-24,2025-01-03,2025-03-31,Erreur CAF,Clôturé,A solder,Automatique,En attente,DOC001,2025
M0563,PPA,1205.08,142.14,2025-12-18,2025-11-12,2025-06-25,Recalcul,En attente,A solder,Automatique,Rejetée,DOC003,2025
M0564,PPA,1829.11,11.71,2025-02-05,2025-03-17,2025-01-21,Recalcul,En attente,En cours,Automatique,Rejetée,DOC001,2025
M0565,PPA,460.79,422.03,2025-04-20,2025-03-28,2025-02-23,Signalement usager,Clôturé,En cours,Manuel,Validée,DOC002,2025
M0566,APL,1264.78,295.04,2025-06-26,2025-09-27,2025-07-03,Recalcul,Clôturé,Relance,Automatique,Rejetée,DOC003,2025
M0567,ASF,1281.54,486.0,2025-12-28,2025-08-13,2025-12-25,Recalcul,Clôturé,Relance,Automatique,En attente,DOC002,2025
M0568,PPA,1479.57,577.2,2025-11-10,2025-01-18,2025-08-10,Recalcul,En attente,Relance,Automatique,En attente,DOC003,2025
M0569,APL,306.56,43.74,2025-10-22,2025-04-23,2025-11-11,Signalement usager,Clôturé,A solder,Automatique,Rejetée,DOC001,2025
M0570,RSA,1445.86,123.0,2025-12-02,2025-09-08,2025-11-24,Erreur CAF,Ouvert,A solder,Automatique,Validée,DOC002,2025
M0571,RSA,1822.61,558.64,2025-04-07,2025-08-21,2025-06-28,Recalcul,Ouvert,A solder,Automatique,Rejetée,DOC001,2025
M0572,APL,400.38,343.17,2025-08-01,2025-11-25,2025-10-03,Signalement usager,Ouvert,A solder,Manuel,En attente,DOC003,2025
M0573,APL,513.21,729.17,2025-11-13,2025-10-06,2025-04-22,Recalcul,En attente,Relance,Manuel,Validée,DOC003,2025
M0574,ASF,1944.22,652.29,2025-05-17,2025-07-21,2025-08-12,Signalement usager,Ouvert,A solder,Automatique,Rejetée,DOC003,2025
M0575,ASF,402.91,845.6,2025-01-06,2025-03-24,2025-08-02,Recalcul,En attente,A solder,Manuel,Validée,DOC003,2025
M0576,RSA,1716.05,692.49,2025-04-19,2025-05-05,2025-02-28,Signalement usager,En attente,A solder,Manuel,Validée,DOC003,2025
M0577,PPA,1009.94,429.93,2025-02-04,2025-06-24,2025-11-23,Recalcul,Ouvert,A solder,Automatique,En attente,DOC002,2025
M0578,RSA,532.1,672.97,2025-02-08,2025-03-10,2025-04-19,Erreur CAF,Clôturé,En cours,Automatique,Validée,DOC003,2025
M0579,PPA,1747.96,275.38,2025-05-30,2025-02-16,2025-06-06,Recalcul,En attente,Relance,Manuel,Rejetée,DOC001,2025
M0580,PPA,918.35,306.31,2025-04-28,2025-09-13,2025-07-10,Signalement usager,Ouvert,Relance,Automatique,Validée,DOC002,2025
